,infobits,field,ccdid,qid,rcid,fid,filtercode,rfid,nframes,maglimit,startobsdate,endobsdate,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra,dec,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid,meta_id
0,0,1703,11,2,41,2,zr,1703120241,40,22.2740002,2018-02-05 03:15:15+00,2019-10-08 11:04:20.502+00,1600.5,1600.5,94.3009229,38.3334612,0.0002777149795008,5.90626684545e-06,5.90626684545e-06,-0.0002777149795008,94.3009229,38.3334612,93.71893673,38.76690371,94.85881789,38.78591943,94.87596542,37.89717686,93.74997163,37.87839291,2019-05-08 00:00:00+00,-1,268934197
1,0,1703,11,1,40,1,zg,1703120140,32,22.3096008,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,95.4076091,38.329367,0.0002777654558322,2.616366456402e-06,2.616366456402e-06,-0.0002777654558322,95.4076091,38.329367,94.83226005,38.76818651,95.97228681,38.77661013,95.97601084,37.88777061,94.84987874,37.87944966,2019-05-08 00:00:00+00,-1,268934103
2,0,1703,11,1,40,2,zr,1703120240,40,22.2912006,2018-02-05 04:11:16+00,2019-10-08 11:04:20.502+00,1600.5,1600.5,95.4027967,38.3467558,0.0002777649672384,2.667733535885e-06,2.667733535885e-06,-0.0002777649672384,95.4027967,38.3467558,94.8272036,38.78549096,95.96750634,38.79407999,95.97143654000001,37.90524101,94.84504036000001,37.89675674,2019-05-08 00:00:00+00,-1,268934175
3,0,1703,12,2,45,2,zr,1703120245,40,22.2054005,2018-02-05 04:11:16+00,2019-10-08 11:04:20.502+00,1600.5,1600.5,91.9347979,38.2694359,0.0002774610857333,1.326045741518e-05,1.326045741518e-05,-0.0002774610857333,91.9347979,38.2694359,91.33887803,38.69063712,92.47667713000001,38.73332944,92.52382153,37.84525565,91.39981509,37.80308201,2019-05-08 00:00:00+00,-1,268934204
4,16,1703,12,1,44,1,zg,1703120144,34,22.3511009,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,93.0396006,38.2891143,0.0002775971949607,1.001454827085e-05,1.001454827085e-05,-0.0002775971949607,93.0396006,38.2891143,92.44984827,38.7157573,93.58852937,38.74799959,93.62243635,37.85955359,92.49758855,37.8277035,2019-05-08 00:00:00+00,-1,268934059
5,16,1703,14,4,55,2,zr,1703120255,40,22.2637005,2018-02-05 04:11:16+00,2019-10-08 11:04:20.502+00,1600.5,1600.5,97.7842626,39.3847091,0.0002777257568026,-5.375670708112e-06,-5.375670708112e-06,-0.0002777257568026,97.7842626,39.3847091,97.21680134,39.83627964,98.37397721,39.81896815,98.34440587,38.9304178,97.20186589,38.94751026,2019-05-08 00:00:00+00,-1,268934310
6,0,1703,16,3,62,1,zg,1703120162,33,22.2224998,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,91.8770161,39.298101,0.0002774556965519,1.337274384956e-05,1.337274384956e-05,-0.0002774556965519,91.8770161,39.298101,91.27208373,39.71905635,92.42665859,39.76212003,92.47469052,38.87405276,91.33463175,38.83153174,2019-05-08 00:00:00+00,-1,268934063
7,16,1703,16,4,63,1,zg,1703120163,33,22.3299007,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,92.9922614,39.3366244,0.0002776011786393,9.903506713841001e-06,9.903506713841001e-06,-0.0002776011786393,92.9922614,39.3366244,92.39385788000001,39.76339624,93.54969613,39.79528847,93.58337769,38.9068258,92.44211404,38.87533621,2019-05-08 00:00:00+00,-1,268934113
8,16,1703,15,4,59,2,zr,1703120259,40,22.2217007,2018-02-05 04:11:16+00,2019-10-08 11:04:20.502+00,1600.5,1600.5,95.3910336,39.3944456,0.0002777588331783,3.244136019134e-06,3.244136019134e-06,-0.0002777588331783,95.3910336,39.3944456,94.80557768000001,39.83218918,95.96305808,39.84263643,95.96916455,38.95380464,94.82633414,38.94348963,2019-05-08 00:00:00+00,-1,268934250
9,0,1703,16,1,60,1,zg,1703120160,33,22.3155003,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,92.9523658,40.1999652,0.0002775935177623,1.011596379626e-05,1.011596379626e-05,-0.0002775935177623,92.9523658,40.1999652,92.34586648,40.62633495,93.51648956,40.65891779,93.55125712,39.77047004,92.39585019,39.73831127,2019-05-08 00:00:00+00,-1,268934114
10,0,1703,14,2,53,1,zg,1703120153,30,22.2642994,2018-02-17 04:11:40+00,2019-10-10 09:55:13.459+00,1600.5,1600.5,96.6787632,40.2460786,0.0002777709206011,-1.951792914005e-06,-1.951792914005e-06,-0.0002777709206011,96.6787632,40.2460786,96.09675587,40.69216449,97.26895212,40.6858778,97.2531253,39.79711558,96.09621949,39.80332026,2019-05-08 00:00:00+00,-1,268934100
11,0,1703,8,2,29,1,zg,1703120129,30,22.2066994,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,92.0424077,36.3394427,0.0002774900607334,1.263962109048e-05,1.263962109048e-05,-0.0002774900607334,92.0424077,36.3394427,91.46299227,36.76179093,92.5716175,36.80246769,92.61555275,35.91432784,91.51946843,35.87411216,2019-05-08 00:00:00+00,-1,268934029
12,16,1703,4,3,14,1,zg,1703120114,29,22.0809002,2018-02-17 04:11:40+00,2019-10-10 09:55:52.402+00,1600.5,1600.5,92.186473,33.5674584,0.0002775496102103,1.125645144838e-05,1.125645144838e-05,-0.0002775496102103,92.186473,33.5674584,91.62916761,33.99226319,92.70055347,34.02846846,92.73830559,33.1401807,91.67786543,33.1043459,2019-05-08 00:00:00+00,-1,268934005
